check,passed
base_v62_curriculum_frozen_green,True
C2_adjunct_U_learned_full_support_zero_conflict,True
C2_adjunct_U_frozen_fronting_transfer,True
C2_four_role_GIVE_is_composition_not_new_base_rule,True
C2_four_role_OPEN_instrument_location_composes,True
C2_frozen_four_role_word_order_transfer,True
C3_multi_action_shared_subject_reuses_clause_U,True
C3_explicit_second_subject_overrides_inheritance,True
C4_two_sentence_pronoun_reference,True
C4_ambiguous_pronoun_remains_unknown,True
C5_state_U_learned_from_event_effect_patterns,True
C6_six_sentence_story_all_events_parsed,True
C6_state_tracks_key_after_two_transfers,True
C7_length_scaling_2_4_8_16_without_new_U,True
C7_sixteen_sentence_story_uses_same_U_set,True
story_contexts_do_not_mix_state,True
endboss_girl_command_still_reachable,True
endboss_local_response_still_reachable,True
endboss_mother_reporting_still_open,True
endboss_stop_formula_still_open,True
