check,passed
K25_no_neural_sensor_path,True
K25_blind_disturbance_combinations_absent_from_training,True
K25_blind_source_images_not_used_for_rule_induction,True
K25_learner_features_are_anonymous_F1_to_F6,True
K25_confirmed_TRUST_U_have_zero_training_conflicts,True
K25_multiple_sensor_paths_survive_learning,True
K25_query_context_changes_sensor_usage,True
K25_gate_reduces_false_commits_vs_fixed_best_sensor,True
K25_gate_uses_less_sensor_cost_than_fixed_best_sensor,True
K25_gate_uses_far_less_cost_than_all_sensors,True
K25_hard_unseen_combinations_can_remain_UNKNOWN,True
K25_rejected_TRUST_U_does_not_make_answer_KEY_minus1,True
