check,passed
K17_KEY_plus1_for_provable_target,True
K17_KEY_zero_for_unknown_pending_target,True
K17_U_pending_is_zero,True
K17_U_rejected_is_minus1_but_output_KEY_is_not_minus1,True
K17_alternate_good_derivation_can_prove_KEY_despite_rejected_U,True
K17_KEY_minus1_requires_explicit_negative_evidence,True
K17_positive_and_negative_support_yield_zero_contradiction,True
K17_query_does_not_mutate_evidence,True
K17_repeated_query_does_not_promote_pending_U,True
K17_independent_evidence_can_promote_pending_U_and_KEY,True
K17_backward_query_opens_only_relevant_U,True
K17_backward_query_tests_far_less_than_eager_forward_scan,True
K17_C1_semantics_do_not_require_cache,True
K17_C2_semantic_correctness_alone_cannot_identify_reuse,True
K17_generic_cost_selects_LOOKUP_STORE_on_shared_subproof_curriculum,True
K17_generic_budget_challenges_naive_while_reuse_survives,True
K17_frozen_reuse_program_preserves_semantics_through_depth12,True
K17_frozen_reuse_program_reduces_deep_cost,True
K17_backward_reuse_ignores_5000_irrelevant_rules,True
K17_versioned_cache_does_not_freeze_stale_UNKNOWN,True
K17_cache_preserves_contradiction_state,True
