check,passed
K23_micro_reference_queries_all_have_expected_ternary_domain,True
K23_compiles_stable_proof_U_after_repeated_support,True
K23_all_compiled_training_queries_equal_micro_semantics,True
K23_negative_KEY_is_compiled_as_positive_opposite_macro_U,True
K23_context_provenance_prevents_cross_story_macro_reuse,True
K23_unknown_query_does_not_compile_fake_proof,True
K23_rejected_inner_U_keeps_outer_KEY_unknown_not_negative,True
K23_contradiction_compiles_both_support_polarities,True
K23_cycle_stays_unknown_and_uncompiled,True
K23_related_revision_retires_old_macro_U,True
K23_retired_macro_U_does_not_make_KEY_negative,True
K23_alternate_micro_U_restores_truth_after_retirement,True
K23_alternate_proof_recompiles_to_active_macro,True
K23_truth_changing_revision_drops_stale_negative_macro,True
K23_truth_changing_revision_recompiles_new_positive_macro,True
K23_unrelated_revision_does_not_retire_unrelated_macro,True
K23_macro_explanations_retain_decomposition_and_provenance,True
K23_queries_are_read_only,True
K23_monolith_reduces_repeated_symbolic_cost,True
K23_monolith_amortizes_its_compile_cost_on_repeated_workload,True
K23_mined_recurring_proof_shapes_exist,True
K23_final_monolith_json_written,True
K23_final_monolith_manifest_written,True
