check,passed
K9_K8_base_is_green,True
K9_no_explicit_event_tuple_labels_used_in_training,True
K9_geben_latent_tuples_are_inferred_from_P3_O2_deltas,True
K9_schenken_latent_tuples_are_inferred_from_P3_O2_deltas,True
K9_geben_binder_learned_from_consequences,True
K9_schenken_binder_learned_from_consequences,True
K9_independent_binders_converge_to_same_structure,True
K9_same_event_merge_still_requires_same_binder_and_consequence,True
K9_wrong_relation_consequence_is_not_accepted_as_GIVE_training,True
K9_missing_shared_argument_identity_rejects_transfer_delta,True
K9_multi_change_without_local_decomposition_is_not_used,True
K9_duplicate_evidence_cannot_activate_binder,True
K9_frozen_SweetPorridge_GIVE_transfers,True
K9_frozen_FrauHolle_GIVE_regression,True
K9_dative_front_word_order_transfers,True
K9_theme_front_word_order_transfers,True
K9_incomplete_clause_remains_UNKNOWN,True
K9_multiple_dative_candidates_remain_UNKNOWN_frozen,True
K9_training_consequence_can_identify_ambiguous_episode_without_compiling_exception,True
K9_removing_cross_time_identity_makes_transfer_vs_replace_non_identifiable,True
