check,passed
three_anonymous_relations_retained,True
no_semantic_event_heads,True
safe_rules_full_support_zero_conflict,True
possession_rule_not_generic_action_clause,True
slot_type_signature_inferred_and_enforced,True
frozen_5of5,True
nontransfer_attack_rejected,True
unverified_directive_relation_detected,True
unverified_directive_world_action_not_committed,True
independent_execution_evidence_unlocks_action,True
underspecified_speech_unknown,True
directive_assertion_same_types_still_separated,True
story_isolation,True
sweet_porridge_reuses_same_anonymous_relation,True
sweet_porridge_effects_require_and_have_independent_support,True
versioned_active,True
