check,passed
K12_K11_and_K11b_bases_green,True
K12_no_case_labels_or_lemma_table_in_new_layer,True
K12_C1_to_C2_em_rule_learned_from_three_independent_bases,True
K12_C1_to_C3_en_rule_learned_from_three_independent_bases,True
K12_unseen_einem_productively_maps_to_C2,True
K12_fake_em_without_known_base_is_not_generalized,True
K12_syncretic_die_remains_multi_role,True
K12_regular_verb_endings_learned_from_multiple_paradigms,True
K12_unseen_schenkten_inherits_semantic_head_productively,True
K12_irregular_unseen_gaebe_is_not_guessed,True
K12_unrelated_stem_plus_regular_looking_suffix_is_not_guessed,True
K12_end_to_end_unseen_marker_works,True
K12_end_to_end_unseen_verb_form_works,True
K12_end_to_end_both_unseen_morph_forms_work_together,True
K12_unknown_irregular_form_keeps_event_UNKNOWN,True
K12_unknown_marker_keeps_event_UNKNOWN,True
K12_multiple_recipient_candidates_keep_event_UNKNOWN,True
K12_known_form_regression,True
K12_without_partial_target_paradigm_einem_is_not_identifiable,True
K12_without_target_verb_paradigm_semantic_evidence_schenkten_is_not_identifiable,True
K12_semantic_synonymy_does_not_imply_same_morphological_paradigm,True
