check,passed
K11b_K11_green,True
K11b_no_NOM_DAT_ACC_labels_in_new_layer,True
K11b_three_anonymous_role_marker_profiles_learned,True
K11b_sweet_raw_markers_bind_correctly,True
K11b_holle_raw_markers_bind_correctly,True
K11b_fronted_theme_binds_correctly_without_case_labels,True
K11b_das_person_subject_supported_by_type_plus_marker,True
K11b_two_recipient_marker_candidates_stay_UNKNOWN,True
K11b_unseen_marker_einem_is_not_guessed,True
K11b_coextensive_dem_ihm_do_not_reveal_morphological_class_identity,True
