check,passed
K16_K15_semantic_oracle_green,True
K16_C1_both_flat_and_chart_are_semantically_correct,True
K16_C2_both_flat_and_chart_are_semantically_correct,True
K16_correctness_only_cannot_identify_search_strategy,True
K16_generic_resource_cost_selects_factorized_search,True
K16_factorization_reduces_proof_work_on_curriculum_challenge,True
K16_no_separator_semantics_needed,True
K16_fronted_multi_event_curriculum_transfers,True
K16_frozen_factorized_search_correct_2_to_64_events,True
K16_frozen_8_event_no_separator_transfer,True
K16_semantic_disagreement_across_groupings_stays_UNKNOWN,True
K16_generic_budget_can_challenge_flat_while_factorized_survives,True
