check,passed
C14_invents_seven_families_from_raw_text_deltas,True
C14_family_heads_all_anonymous,True
C14_each_family_has_three_raw_supports_cross_domain,True
C14_family_clustering_does_not_use_same_token_repetition,True
C14_heldout_tokens_stage_then_activate_all_seven,True
C14_heldout_tokens_choose_expected_raw_invented_family,True
C14_active_lexical_U_reuse_new_arguments_all_seven,True
C14_long_raw_mixed_text_extracts_fourteen_transitions,True
C14_long_raw_mixed_text_activates_all_seven_tokens,True
C14_zero_delta_creates_no_family,True
C14_open_world_missing_prior_negative_rejected,True
C14_explicit_prior_negative_allows_add_transition,True
C14_duplicate_evidence_cannot_activate,True
C14_conflicting_raw_family_challenges_active_token,True
C14_semantic_recognition_does_not_mutate_world,True
C14_frozen_novel_raw_examples_classify_all_seven,True
grimm_same_raw_extractor_finds_two_steh_transitions,True
grimm_both_steh_raw_deltas_match_remove_active_family,True
grimm_steh_raw_lifecycle_staged_then_active,True
grimm_steh_reuses_raw_learned_family_on_new_action,True
