check,passed
frozen_K4_base_is_green,True
K5_operation_heads_are_anonymous_O_symbols,True
K5_four_distinct_snapshot_motifs_are_learned,True
K5_each_operation_requires_three_independent_supports,True
K5_frozen_new_relations_and_constants_transfer,True
K5_no_change_does_not_invent_operation,True
K5_unrelated_cross_relation_change_does_not_match_known_operation,True
K5_duplicate_evidence_cannot_activate_operation,True
K5_two_supports_are_still_staged,True
K5_anonymous_operation_programs_can_be_reused,True
K5_relation_names_are_not_needed_for_generic_operation_family,True
K5_time_order_removal_makes_appearance_and_disappearance_non_identifiable,True
K5_variable_identity_removal_collapses_replace_and_transfer,True
K5_Grimm_two_steh_transitions_choose_same_anonymous_operation,True
K5_Grimm_steh_can_activate_from_two_distinct_operation_evidences,True
