check,passed
three_anonymous_relations_invented,True
no_semantic_event_heads_in_library,True
each_relation_full_training_support_zero_conflict,True
directive_and_assertion_same_type_signature_but_separated,True
directive_paraphrases_merge,True
assertion_paraphrases_merge,True
transfer_paraphrases_merge,True
frozen_5of5,True
cross_domain_fairy_directive_reuses_relation,True
fairy_assertion_does_not_execute_action,True
underspecified_speech_stays_unknown,True
story_isolation,True
sweet_porridge_three_anonymous_directives_reused,True
sweet_porridge_action_consequences_grounded,True
versioned_active_library,True
