check,passed
K18_dictionary_is_raw_token_identity_only,True
K18_content_anchors_are_learned_from_grounded_episode_identity,True
K18_anonymous_types_are_learned_from_port_incidence,True
K18_no_case_labels_needed_for_learned_raw_role_markers,True
K18_productive_unseen_einem_role_is_learned,True
K18_raw_event_forms_discover_same_anonymous_transfer_semantics,True
K18_productive_unseen_schenkten_semantics_is_learned,True
K18_single_event_parser_works_without_POS_lemma_case_entity_labels,True
K18_backward_raw_text_query_proves_first_event,True
K18_backward_raw_text_query_proves_second_event_without_fixed_clause_split,True
K18_absent_event_is_KEY_zero_not_false,True
K18_rejected_text_U_does_not_make_absent_KEY_minus1,True
K18_explicit_opposite_evidence_makes_KEY_minus1,True
K18_positive_plus_opposite_makes_contradiction_zero,True
K18_query_is_read_only,True
K18_pure_cycle_stays_UNKNOWN_without_U_rejection,True
K18_cycle_with_independent_base_can_prove,True
K18_curriculum_selects_no_reuse_small_then_reuse_deep,True
K18_kernel_ablation_matrix_has_no_unexplained_required_language_label,True
