check,passed
C1_er_resolves_male_actor,True
C1_ihr_resolves_female_recipient,True
C1_pronoun_transfer_state,True
C2_sie_and_ihm_case_roles,True
C3_ambiguous_dative_reference_recorded,True
C3_ambiguous_recipient_not_guessed,True
C4_multiple_item_types_make_davon_ambiguous,True
C4_item_ambiguity_does_not_change_state,True
C4_explicit_item_disambiguates,True
C5_claim_local_reference_chain_resolves,True
C5_claim_chain_does_not_leak_world,True
C6_v2_fronted_object_with_pronouns,True
C6_v2_fronted_object_with_names,True
C7_wrong_answer_stays_unknown,True
C7_numeric_u_still_reused_once,True
