check,passed
frozen_v65_base_stays_green,True
C13_invents_seven_distinct_anonymous_families,True
C13_all_family_heads_are_anonymous,True
C13_each_family_cross_domain_support_at_least_three,True
C13_family_invention_does_not_use_token_identity,True
C13_all_seven_heldout_tokens_stage_then_activate,True
C13_all_heldout_tokens_choose_correct_invented_family,True
C13_active_meanings_reuse_on_new_arguments,True
C13_family_conflict_challenges_active_lexical_meaning,True
C13_no_state_delta_creates_no_family_entry,True
C13_duplicate_evidence_id_cannot_activate,True
C13_semantic_recognition_does_not_mutate_world,True
grimm_two_steh_evidence_occurrences_found,True
grimm_first_steh_staged_second_active,True
grimm_steh_selects_independently_invented_remove_ACTIVE_family,True
grimm_steh_reuses_on_new_target_action,True
frozen_novel_transitions_classify_all_seven_families,True
