check,passed
K21_reuses_actual_frozen_learned_ADD_spec,True
K21_reuses_actual_frozen_learned_MUL_spec,True
K21_time_solver_does_not_use_direct_temporal_python_plus_or_multiply,True
K21_recursive_MUL_proves_3_hours_offset,True
K21_recursive_ADD_proves_E2_timestamp,True
K21_wrong_MUL_output_remains_KEY_zero,True
K21_wrong_ADD_output_remains_KEY_zero,True
K21_absolute_E0_before_anchor_derived_by_backward_ADD,True
K21_absolute_E2_derived_through_MUL_then_ADD,True
K21_absolute_E3_chain_derived,True
K21_one_day_offset_works_through_same_learned_recursive_U,True
K21_exact_time_query_plus1,True
K21_wrong_exact_time_query_minus1_only_after_unique_time_proof,True
K21_duration_3_hours_plus1_without_SUB_primitive,True
K21_duration_180_minutes_same_value_plus1,True
K21_wrong_duration_minus1,True
K21_latest_state_after_learned_arithmetic_leave_is_minus1,True
K21_latest_state_before_leave_is_plus1,True
K21_equal_1hour_and_60minute_times_expose_contradiction,True
K21_unknown_temporal_cue_keeps_U_and_KEY_zero,True
K21_rejected_temporal_U_does_not_make_time_KEY_minus1,True
K21_conflicting_time_derivations_make_KEY_zero_contradiction,True
K21_backward_time_query_ignores_5000_disconnected_U,True
K21_queries_are_read_only,True
K21_number_successor_structure_is_still_a_real_prior,True
