check,passed
frozen_K2_report_is_green,True
K3_four_relation_heads_are_anonymous_P_symbols,True
K3_no_human_relation_name_is_a_learned_head,True
K3_relation_schemas_are_learned_from_recurrent_transition_behavior,True
K3_four_normal_relation_schemas_are_identifiable,True
K3_K1_deltas_compile_to_anonymous_relations,True
K3_state_updates_work_only_with_P_relations,True
K3_new_family_miner_invents_seven_P_based_transition_families,True
K3_process_vs_attribute_survive_coarse_same_port_types_via_dynamics,True
K3_pure_transition_topology_detects_process_location_collision,True
K3_collision_without_type_or_surface_evidence_stays_UNKNOWN,True
K3_formal_surface_provenance_can_rescue_process_without_semantic_types,True
K3_formal_surface_provenance_can_rescue_location_without_semantic_types,True
K3_isolated_same_coarse_type_pair_without_history_is_UNKNOWN,True
K3_Grimm_steh_path_works_with_P_relation_and_A_action,True
K3_Grimm_steh_reuse_contains_no_human_relation_or_action_name,True
