check,passed
raw_text_produces_world_keys,True
raw_query_parses_symbolically,True
anonymous_relation_invented_without_SUB_vocabulary,True
anonymous_relation_training_gate,True
anonymous_relation_frozen_gate,True
main_unseen_text_answer_correct,True
wrong_answer_stays_unknown,True
query_story_not_training_evidence,True
second_text_reuses_same_anonymous_u,True
claim_does_not_enter_world,True
actual_world_event_after_claim_enables_reasoning,True
story_contexts_do_not_mix,True
parent_u_is_structural_and_uses_R1,True
library_is_versioned,True
