check,passed
frozen_v68_base_stays_green,True
K1_forbidden_semantic_surface_cues_are_absent,True
K1_learns_all_four_primitive_transition_classes,True
K1_all_selected_rules_zero_conflict_on_training,True
K1_frozen_transfer_without_named_semantic_cues,True
K1_adversarial_minimal_pairs_and_typed_polysemy,True
K1_state_integration_remains_correct,True
K1_handoff_matches_existing_C14_anonymous_stop_family,True
K1_three_distinct_raw_surface_patterns_support_same_opaque_family,True
K1_Grimm_cessation_clause_works_via_form_features,True
K1_bounded_rule_search_remains_tractable,True
K1_long_frozen_mix_does_not_mutate_rules,True
