check,passed
frozen_v64_base_stays_green,True
C11_unknown_imperative_schema_learned_from_unrelated_examples,True
C11_schema_full_positive_support_zero_negative_conflict,True
C11_wrong_target_action_negative_rejected,True
C11_first_token_evidence_only_staged,True
C11_second_independent_evidence_activates_token,True
C11_active_token_reuses_across_new_target_action,True
C11_directive_semantics_alone_not_world_cessation,True
C11_independent_matching_observation_can_ground_world_cessation,True
grimm_two_unknown_steh_occurrences_found,True
grimm_first_steh_only_staged,True
grimm_second_steh_activates_lexical_U,True
grimm_steh_active_after_two_independent_consequences,True
grimm_both_steh_consequences_are_local_COOK_cessations,True
grimm_learned_steh_reuses_on_new_action,True
grimm_reused_steh_directive_still_not_world_evidence,True
adversarial_one_support_cannot_normal_reuse,True
adversarial_no_consequence_creates_no_semantic_entry,True
adversarial_contradictory_consequence_challenges_active_token,True
C12_mixed_long_text_uses_new_lexical_U_plus_old_language_U,True
